店名,住所,緯度,経度,開始,終了,点数,レビュー数,URL
かつや 川崎戸手店 Katsuya KAWASAKI TODE,神奈川県川崎市幸区戸手2-6,35.5467646,139.6926431,10:00,23:00,4.4,71.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%8B%E3%81%A4%E3%82%84-%E5%B7%9D%E5%B4%8E%E6%88%B8%E6%89%8B%E5%BA%97-katsuya-kawasaki-tode/qjVjar80SH-70s_GxqrymA
キッチンオリジン 新丸子 Kitchen Origin Shinmaruko,神奈川県川崎市中原区新丸子町739番地 Kanagawa,35.5806919,139.6612956,10:00,22:00,4.3,71.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%96%B0%E4%B8%B8%E5%AD%90-kitchen-origin-shinmaruko/GfSr217DQfSl4Q_azGZAEg
オウルティー OWL TEA,3-Chōme-22-2 Kosugimachi Nakahara-Ku,35.573302399408284,139.65717506052536,12:00,21:00,4.6,373.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AA%E3%82%A6%E3%83%AB%E3%83%86%E3%82%A3%E3%83%BC-owl-tea/qbeU9y2SRQK3L3WwY6kBBw
すき家 武蔵中原店 Sukiya Musashinakahara,川崎市中原区上小田中4-2-1 Beans1F,35.581375799999996,139.6409824,09:00,23:59,4.6,46.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-sukiya-musashinakahara/nAfdxT6ySHWlKcGwkN0mEA
すき家 川崎木月店 Sukiya Kawasaki Kizuki,川崎市中原区木月3-53-7,35.5625096,139.64897539999998,09:00,23:59,4.5,191.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%99%E3%81%8D%E5%AE%B6-%E5%B7%9D%E5%B4%8E%E6%9C%A8%E6%9C%88%E5%BA%97-sukiya-kawasaki-kizuki/Y1B0FEvWTEOLxAczg9YqwQ
吉野家 武蔵小杉南口店 Yoshinoya MUSASHIKOSUGI MINAMIGUCHI,神奈川県川崎市中原区小杉町3丁目441番26,35.574114806653,139.65861862475487,09:00,23:59,4.5,122.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%90%89%E9%87%8E%E5%AE%B6-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%8D%97%E5%8F%A3%E5%BA%97-yoshinoya-musashikosugi-minamiguchi/j4_S_Oi7QkehwrExCdepQg
ケンタッキーフライドチキン 綱島店 Kentucky Fried Chicken Tsunashima,神奈川県横浜市港北区綱島西１−８−１,35.536769799999995,139.63363769999998,10:30,21:00,4.5,401.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B1%E3%83%B3%E3%82%BF%E3%83%83%E3%82%AD%E3%83%BC%E3%83%95%E3%83%A9%E3%82%A4%E3%83%88%E3%83%81%E3%82%AD%E3%83%B3-%E7%B6%B1%E5%B3%B6%E5%BA%97-kentucky-fried-chicken-tsunashima/zO8a2iWETWm0FYjThkeCYA
ケンタッキーフライドチキン 子母口店 Kentucky Fried Chicken SHIBOKUCHI,神奈川県川崎市高津区明津２００,35.568739,139.636728,10:30,21:00,4.5,200.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B1%E3%83%B3%E3%82%BF%E3%83%83%E3%82%AD%E3%83%BC%E3%83%95%E3%83%A9%E3%82%A4%E3%83%88%E3%83%81%E3%82%AD%E3%83%B3-%E5%AD%90%E6%AF%8D%E5%8F%A3%E5%BA%97-kentucky-fried-chicken-shibokuchi/KUtmdSTrQT2mupGRp8WmSA
ケンタッキーフライドチキン 武蔵新城店 Kentucky Fried Chicken MUSASHISHINNJOU,神奈川県川崎市中原区新城５−４−３,35.586289,139.629519,10:30,21:00,4.5,200.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B1%E3%83%B3%E3%82%BF%E3%83%83%E3%82%AD%E3%83%BC%E3%83%95%E3%83%A9%E3%82%A4%E3%83%88%E3%83%81%E3%82%AD%E3%83%B3-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-kentucky-fried-chicken-musashishinnjou/LtyNbd5XTGWZBFbBqTXlZw
華屋与兵衛 港北日吉 Hanayayohei Kouhokuhiyoshi,横浜市港北区日吉6-1-15 Kanagawa,35.5460928,139.6520146,11:00,22:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E8%8F%AF%E5%B1%8B%E4%B8%8E%E5%85%B5%E8%A1%9B-%E6%B8%AF%E5%8C%97%E6%97%A5%E5%90%89-hanayayohei-kouhokuhiyoshi/GMLnMm2hRyGZBXISwViN9w
一乃蔵 Ichinokura,神奈川県 横浜市 港北区 綱島西1-4-23 ソリスト綱島 1Ｆ Yokohama,35.5378073,139.6349679,12:00,17:00,4.7,14.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%80%E4%B9%83%E8%94%B5-ichinokura/tDqZooqwS9SPvRxhf05FEg
私のアジア 武蔵中原店 Watashi no Asia Musashinakahara,川崎市中原区 下小田中1-6-20 鹿島ビル1F Kawasaki,35.5810922,139.6388929,11:00,22:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%A7%81%E3%81%AE%E3%82%A2%E3%82%B7%E3%82%A2-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-watashi-no-asia-musashinakahara/mRVCqDX1Q46LET2mT0rT_g
ナイン 綱島店 NINE Tsunashima,1 Chome-2-9 Tsunashimanishi Kōhoku-Ku Yokohama-Shi Kanagawa-Ken  Japan ゴールデンパーク第6吉田ビル 1F,35.537950200000004,139.6354986,10:30,21:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%8A%E3%82%A4%E3%83%B3-%E7%B6%B1%E5%B3%B6%E5%BA%97-nine-tsunashima/KV4Sh4ztRGOWgTX-yO_D1g
インディアンハウス Indian House,Hisasue Takatsu-Ku Kawasaki-Shi Kanagawa-ken,35.565137,139.615241,11:00,22:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E3%83%B3%E3%83%8F%E3%82%A6%E3%82%B9-indian-house/OprzSq5iSoS8qWEcPDIqRw
サンマルクカフェ 綱島西 Saintmarccafe Tsunashima Nishi,神奈川県横浜市港北区綱島西2-6-17 Kanagawa,35.5362474,139.63242759999997,08:30,11:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B5%E3%83%B3%E3%83%9E%E3%83%AB%E3%82%AF%E3%82%AB%E3%83%95%E3%82%A7-%E7%B6%B1%E5%B3%B6%E8%A5%BF-saintmarccafe-tsunashima-nishi/_9LpGeSdQWWEMAtDTi_msQ
うさぎ＆みかん USAGI and MIKAN,川崎市高津区 明津188 Kawasaki,35.568031299999994,139.6352608,11:00,18:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%86%E3%81%95%E3%81%8D%26%E3%81%BF%E3%81%8B%E3%82%93-usagi-and-mikan/bPHOHmKFTtOHDF8iWVm2Pw
ガネーサ Ganesa,Kōhoku-Ku Hiyoshihonchō 4 Chome−1 1F Yokohama-Shi Kanagawa-ken,35.547087,139.639531,11:00,21:30,4.6,34.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%83%8D%E3%83%BC%E3%82%B5-ganesa/xkXK0s1ZSjCtDRc34JOf9w
ナイン 元住吉店 NINE Motosumiyoshi,1-Chōme-32-11 Kizuki Nakahara-Ku Kawasaki-Shi Kanagawa-Ken  Japan 日生ハイツ1F南,35.56475139999999,139.6525159,11:30,21:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%8A%E3%82%A4%E3%83%B3-%E5%85%83%E4%BD%8F%E5%90%89%E5%BA%97-nine-motosumiyoshi/CRTlZO1OTeuERRexYcbdAA
カレーナロンキッチン - 矢向 Curry Nalon Kitchen - Yakou,Yakō 6 Chome−12 矢向6-12 ナロン 横浜市鶴見区 神奈川県,35.539287,139.678304,11:00,23:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8A%E3%83%AD%E3%83%B3%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E7%9F%A2%E5%90%91-curry-nalon-kitchen-yakou/RV_-nHQMT5aS404HJd8B9Q
一本堂 武蔵新城店 ＩＰＰＯＮＤＯＵ,中原区新城 1丁目15-6,35.5839890145518,139.63135640264346,11:00,18:30,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E4%B8%80%E6%9C%AC%E5%A0%82-%E6%AD%A6%E8%94%B5%E6%96%B0%E5%9F%8E%E5%BA%97-ippondou/dYe1rM_tTfqulryWmeXr8w
ファミリーキッチン Family Kitchen,Yakō 6 Chome−12−3 Yokohama-Shi Kanagawa-ken,35.539252000000005,139.678276,11:00,23:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-family-kitchen/TE3lJGHoStSw2sBYLy8q5g
牛かつ黒べこ 平間 Gyukatsu Kurobeko Hirama,神奈川県川崎市中原区上平間1700-125 Kanagawa,35.559631599999996,139.6754851,11:00,21:00,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%89%9B%E3%81%8B%E3%81%A4%E9%BB%92%E3%81%B8%E3%81%93-%E5%B9%B3%E9%96%93-gyukatsu-kurobeko-hirama/CcaLIqSaS06Uc8vKZvnuwA
インド・ネパール ダイニング＆バー ニュープルニマ 駒岡店 Indian & Nepali Dining & Bar Purnima,鶴見区駒岡１－２７－４ Yokohama,35.5250189,139.6508797,11:00,23:00,4.1,14.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%BB%E3%83%8D%E3%83%8F%E3%83%BC%E3%83%AB-%E3%82%BF%E3%82%A4%E3%83%8B%E3%83%B3%E3%82%AF%26%E3%83%8F%E3%83%BC-%E3%83%8B%E3%83%A5%E3%83%BC%E3%83%95%E3%83%AB%E3%83%8B%E3%83%9E-%E9%A7%92%E5%B2%A1%E5%BA%97-indian-%26-nepali-dining-%26-bar-purnima/CoOHToKfQZGGEclY1OV32w
