店名,住所,緯度,経度,点数,レビュー数,URL
タイレストラン アロイ高津店 THAIRESUTAURANT AROI,高津区二子5-5-2 ジェメリ高津1階 Kanagawa,35.6018348,139.61729609999998,4.1,19.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%BF%E3%82%A4%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%82%A2%E3%83%AD%E3%82%A4%E9%AB%98%E6%B4%A5%E5%BA%97-thairesutaurant-aroi/-cyYEWUITj2Hlr7KueVSFg
タイレストラン サワディ THAI SAWADI,川崎市高津区下作延2－7－3 Kanagawa,35.6002185,139.60646599999998,4.1,33.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%BF%E3%82%A4%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%82%B5%E3%83%AF%E3%83%86%E3%82%A3-thai-sawadi/bpHd2ja0RXW_lUP7FQIrxQ
ジャイプール Jaipur,Nakahara-Ku Kizuki 1 Chome−29 1F Kawasaki-Shi Kanagawa-ken,35.565742,139.65141699999998,4.1,10.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%95%E3%83%BC%E3%83%AB-jaipur/nS3WLvBuTky3az1JNtP3Pw
キッチン オリジン 元住吉 Kitchen Origin Motosumiyoshi,神奈川県川崎市中原区木月住吉町8-6 Kanagawa,35.5663919,139.6573855,4.5,159.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E5%85%83%E4%BD%8F%E5%90%89-kitchen-origin-motosumiyoshi/BeNUmH-2QdieCsMXZw1c4Q
リップル Ripple,川崎市中原区 木月3-10-20  永塚ビル1F Kawasaki,35.565563299999994,139.6479591,4.6,16.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%AA%E3%83%83%E3%83%95%E3%83%AB-ripple/o6QwO0EHRXCsY9zlK8uHbQ
マドラスミールス Madras Meals,816 Kamimarukohachimanchō Nakahara-Ku Kawasaki-Shi Kanagawa-Ken  Japan 1F,35.580240970654,139.6648532341279,4.7,45.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%9E%E3%83%88%E3%83%A9%E3%82%B9%E3%83%9F%E3%83%BC%E3%83%AB%E3%82%B9-madras-meals/cELCvlz9RMqhPG7qXTszDQ
焼肉 慶 Yakiniku Kei,神奈川県 川崎市 中原区 丸子通 1-636 Kawasaki,35.5817451,139.663669,,,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%84%BC%E8%82%89-%E6%85%B6-yakiniku-kei/Vp7XxgwzThWpu75322MOSg
てけてけ 川崎モアーズ店 Teketeke Kawasaki MORE'S,神奈川県川崎市川崎区駅前本町7,35.530542,139.6996382,4.5,47.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%A6%E3%81%91%E3%81%A6%E3%81%91-%E5%B7%9D%E5%B4%8E%E3%83%A2%E3%82%A2%E3%83%BC%E3%82%B9%E5%BA%97-teketeke-kawasaki-mores/wZF8dfzrTkq_YXNnNXvHeA
はま寿司 マーケットスクエア川崎イースト店 Hamazushi Market Squer Kawasaki East,神奈川県川崎市川崎区富士見1丁目5番5号,35.533703,139.7113167,4.0,28.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%AF%E3%81%BE%E5%AF%BF%E5%8F%B8-%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%E5%B7%9D%E5%B4%8E%E3%82%A4%E3%83%BC%E3%82%B9%E3%83%88%E5%BA%97-hamazushi-market-squer-kawasaki-east/j7qYO-xKQjGMwPnF9zperA
刀削麺の達人 Tōsakumen Master,川崎区砂子２－９－１１ Kanagawa,35.5287852,139.7010078,4.4,90.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E5%88%80%E5%89%8A%E9%BA%BA%E3%81%AE%E9%81%94%E4%BA%BA-tosakumen-master/FXRM-pESQqmnijD26Ii5gw
ピザハット 川崎 Pizza Hut KAWASAKI,神奈川県川崎市幸区南幸町２−６７−１ リバーサウス川崎1F,35.532272,139.68968600000002,4.6,41.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%83%92%E3%82%B5%E3%83%8F%E3%83%83%E3%83%88-%E5%B7%9D%E5%B4%8E-pizza-hut-kawasaki/xWye_GxIThKiXiqnovbHUg
瑪蜜黛 ウィングキッチン京急川崎店 mo mi toy Wing Kitchen Keikyu-Kawasaki,川崎市川崎区砂子1-3-1 ウィングキッチン京急川崎 1F Kanagawa,35.5323159,139.7008189,4.6,264.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E7%91%AA%E8%9C%9C%E9%BB%9B-%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%AF%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E4%BA%AC%E6%80%A5%E5%B7%9D%E5%B4%8E%E5%BA%97-mo-mi-toy-wing-kitchen-keikyu-kawasaki/NROKpcuMRl-tJFU9pBB3-w
びんがた Bingata,4-13 Higashidachō Kawasaki-Ku Kawasaki-Shi Kanagawa-Ken  Japan,35.5292338,139.702915,4.5,28.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%B2%E3%82%93%E3%81%8B%E3%81%9F-bingata/4B-E9UOhQRm8Yd6vYiJWdA
東京餃子軒 川崎店 Tokyo Gyoza ken,川崎市川崎区 小川町14-6 岩本第4ビル1F Kawasaki,35.52815820000001,139.6998482,4.5,126.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E6%9D%B1%E4%BA%AC%E9%A4%83%E5%AD%90%E8%BB%92-%E5%B7%9D%E5%B4%8E%E5%BA%97-tokyo-gyoza-ken/0Tf5qzB-SW6nbvOn5Btypw
ウェンディーズ・ファーストキッチン 鶴見ミナール店 Wendy’s First Kitchen tsurumi mina-ru,神奈川県横浜市鶴見区豊岡町18-1 ミナール3F,35.508979,139.676024,4.5,360.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A6%E3%82%A7%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E9%B6%B4%E8%A6%8B%E3%83%9F%E3%83%8A%E3%83%BC%E3%83%AB%E5%BA%97-wendys-first-kitchen-tsurumi-mina-ru/PJetCGf9TtmSsyWKEJQ_0Q
韓国料理 マダン Korean Restaurant Madan,川崎市川崎区 東田町3-13 工永ビル1Ｆ Kawasaki,35.5286748,139.70256519999998,4.2,52.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E9%9F%93%E5%9B%BD%E6%96%99%E7%90%86-%E3%83%9E%E3%82%BF%E3%83%B3-korean-restaurant-madan/voYRqmUTSEeiZCDS0B5Irg
うどん×ちょい呑み 川崎うどん Udon×Drink a little Kawasaki Udon,神奈川県 川崎市 幸区 大宮町 14-4 中野ビル 1F Yokohama,35.5313919,139.6928436,4.7,70.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%81%86%E3%81%A8%E3%82%93%C3%97%E3%81%A1%E3%82%87%E3%81%84%E5%91%91%E3%81%BF-%E5%B7%9D%E5%B4%8E%E3%81%86%E3%81%A8%E3%82%93-udon%C3%97drink-a-little-kawasaki-udon/JGTi3fsMRGyhmFqTumyOUg
サーティワン アイスクリーム 川崎ダイス店 31 IceCream Kawasaki DICE,神奈川県川崎市川崎区駅前本町8 DICE B2F,35.531438,139.70018000000002,4.5,40.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%B5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%AF%E3%83%B3-%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%B7%9D%E5%B4%8E%E3%82%BF%E3%82%A4%E3%82%B9%E5%BA%97-31-icecream-kawasaki-dice/XBeL8GmNQrCXeVuFZHr4MQ
インドレストラン ネイナ 2号店 INDIAN RESTAURANT NAINA 2,Kawasaki-Ku Higashidachō 高橋ビル２Ｆ Kawasaki-Shi Kanagawa-ken,35.529403,139.702071,4.6,35.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%8D%E3%82%A4%E3%83%8A-2%E5%8F%B7%E5%BA%97-indian-restaurant-naina-2/IelvXA03QL-jf1g2YXnbKg
キッチン オリジン 川崎貝塚 Kitchen Origin Kawasakikaizuka,神奈川県川崎市川崎区貝塚2-16-3 Kanagawa,35.52480900000001,139.7062874,4.4,31.0,https://www.ubereats.com/jp/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E5%B7%9D%E5%B4%8E%E8%B2%9D%E5%A1%9A-kitchen-origin-kawasakikaizuka/cE4w1pouQ8SuDCagTfilcg
